,id,name,geometry
1049796,533,Broadway & W 38 St,POINT (-73.98721619 40.75299641)
1054283,534,Water - Whitehall Plaza,POINT (-74.0127234 40.70255065)
1056596,536,1 Ave & E 30 St,POINT (-73.97536082000001 40.74144387)
1060858,537,Lexington Ave & E 24 St,POINT (-73.98409214 40.74025878)
1066799,539,Metropolitan Ave & Bedford Ave,POINT (-73.96024116 40.71534825)
1071656,540,Lexington Ave & E 29 St,POINT (-73.98215353488922 40.74311555376486)
1076470,545,E 23 St & 1 Ave,POINT (-73.97809472 40.736502)
1082185,546,E 30 St & Park Ave S,POINT (-73.98303529 40.74444921)
1086047,2000,Front St & Washington St,POINT (-73.98940236 40.70255088)
1089939,2002,Wythe Ave & Metropolitan Ave,POINT (-73.96319799999999 40.716887)
1093992,2003,1 Ave & E 18 St,POINT (-73.9805442094803 40.73381219196632)
1099195,2005,Railroad Ave & Kay Ave,POINT (-73.97100055999999 40.70531194)
1099354,2006,Central Park S & 6 Ave,POINT (-73.97634151 40.76590936)
1108849,2008,Little West St & 1 Pl,POINT (-74.01677685 40.70569254)
1115594,2009,Catherine St & Monroe St,POINT (-73.99682618999999 40.71117444)
1118149,2010,Grand St & Greene St,POINT (-74.00234737 40.72165481)
1121723,2012,E 27 St & 1 Ave,POINT (-73.97680600000001 40.739445)
1125199,2021,W 45 St & 8 Ave,POINT (-73.98859650999999 40.75929124)
1129977,2022,E 60 St & York Ave,POINT (-73.95922299999999 40.759107)
1131244,2023,E 55 St & Lexington Ave,POINT (-73.97031366 40.75968085)
1133341,3002,South End Ave & Liberty St,POINT (-74.01575600000001 40.711512)
1142886,3016,Kent Ave & N 7 St,POINT (-73.96165072917937 40.72036775298455)
1148310,3036,8D OPS 01,POINT (-73.89660179615021 40.88092055523877)
1148312,3041,Kingston Ave & Herkimer St,POINT (-73.94142771 40.67890679)
1148985,3042,Fulton St & Utica Ave,POINT (-73.92989109999999 40.6794268)
1149731,3043,Lewis Ave & Decatur St,POINT (-73.93490300000001 40.6814598)
1150139,3044,Albany Ave & Fulton St,POINT (-73.938475 40.6800105)
1150387,3046,Marcus Garvey Blvd & Macon St,POINT (-73.93803699999999 40.682601)
1150987,3047,Halsey St & Tompkins Ave,POINT (-73.944118 40.6823687)
1151793,3048,Putnam Ave & Nostrand Ave,POINT (-73.94977 40.68402)
1152315,3049,Cambridge Pl & Gates Ave,POINT (-73.96304000000001 40.68488)
1153168,3050,Putnam Ave & Throop Ave,POINT (-73.94110999999999 40.6851532)
1153824,3052,Lewis Ave & Madison St,POINT (-73.93577500000001 40.686312)
1154665,3053,Marcy Ave & Lafayette Ave,POINT (-73.94791500000001 40.6900815)
1155254,3054,Greene Ave & Throop Ave,POINT (-73.942061 40.6894932)
1155835,3055,Greene Ave & Nostrand Ave,POINT (-73.95091600000001 40.68833370000001)
1156548,3056,Kosciuszko St & Nostrand Ave,POINT (-73.95133465000001 40.69072549)
1157174,3057,Kosciuszko St & Tompkins Ave,POINT (-73.9452416 40.69128258)
1157888,3058,Lewis Ave & Kosciuszko St,POINT (-73.93705428 40.69237074)
1158548,3059,Pulaski St & Marcus Garvey Blvd,POINT (-73.939877 40.6933982)
1158919,3060,Willoughby Ave & Tompkins Ave,POINT (-73.94626915000001 40.69425403)
1159471,3061,Throop Ave & Myrtle Ave,POINT (-73.94371094 40.69622937)
1159846,3062,Myrtle Ave & Marcy Ave,POINT (-73.94954908 40.69539817)
1160477,3063,Nostrand Ave & Myrtle Ave,POINT (-73.95238107999999 40.69527008)
1160974,3064,Myrtle Ave & Lewis Ave,POINT (-73.93756926 40.69681963)
1162731,3065,Union Ave & Wallabout St,POINT (-73.95032283 40.70029511)
1163236,3066,Tompkins Ave & Hopkins St,POINT (-73.94708417 40.69957608)
1163795,3067,Broadway & Whipple St,POINT (-73.9437303 40.7016657)
1164585,3068,Humboldt St & Varet St,POINT (-73.940636 40.7031724)
1165649,3069,Lorimer St & Broadway,POINT (-73.94818595 40.70411791)
1166081,3070,McKibbin St & Manhattan Ave,POINT (-73.94407279000001 40.70510918)
1166804,3071,Boerum St & Broadway,POINT (-73.94976518999999 40.70538077)
1167473,3072,Leonard St & Boerum St,POINT (-73.94644578 40.70583339)
1168072,3073,Division Ave & Hooper St,POINT (-73.95441667 40.70691254)
1168639,3075,Division Ave & Marcy Ave,POINT (-73.95796783 40.70708701)
1169048,3076,Scholes St & Manhattan Ave,POINT (-73.9448625 40.70870368)
1170673,3077,Stagg St & Union Ave,POINT (-73.95095259 40.70877084)
1172212,3078,Broadway & Roebling St,POINT (-73.96063148975372 40.70924826276157)
1174040,3080,S 4 St & Rodney St,POINT (-73.95608 40.70934)
1175180,3081,Graham Ave & Grand St,POINT (-73.944024 40.711863)
1176470,3082,Hope St & Union Ave,POINT (-73.95141312 40.71167351)
1178443,3083,Bushwick Ave & Powers St,POINT (-73.94100005 40.71247661)
1180007,3085,Roebling St & N 4 St,POINT (-73.95739 40.71469)
1181984,3086,Graham Ave & Conselyea St,POINT (-73.944507 40.715143)
1184514,3087,Metropolitan Ave & Meeker Ave,POINT (-73.95234386 40.71413311)
1186654,3088,Union Ave & Jackson St,POINT (-73.95202900000001 40.7160751)
1187476,3090,N 8 St & Driggs Ave,POINT (-73.95600096 40.71774592)
1191047,3091,Frost St & Meeker St,POINT (-73.94882 40.71764)
1191659,3092,Berry St & N 8 St,POINT (-73.95852515 40.7190095)
1194550,3093,N 6 St & Bedford Ave,POINT (-73.95850939 40.71745169)
1198666,3094,Graham Ave & Withers St,POINT (-73.94485917999999 40.7169811)
1199737,3095,Graham Ave & Herbert St,POINT (-73.94500379 40.71929301)
1200464,3096,Union Ave & N 12 St,POINT (-73.95241999999999 40.71924)
1202567,3100,Nassau Ave & Newell St,POINT (-73.94752621650694 40.72481256440017)
1203999,3101,N 12 St & Bedford Ave,POINT (-73.95484712 40.72079821)
1206165,3102,Driggs Ave & Lorimer St,POINT (-73.95041540000001 40.72179134)
1207602,3105,N 15 St & Wythe Ave,POINT (-73.955736 40.724055)
1208659,3106,Driggs Ave & N Henry St,POINT (-73.94308000000001 40.72325)
1210091,3107,Bedford Ave & Nassau Ave,POINT (-73.95212324000001 40.72311651)
1213219,3108,Nassau Ave & Russell St,POINT (-73.94434 40.72557)
1215140,3109,Banker St & Meserole Ave,POINT (-73.95621 40.72606)
1216832,3110,Meserole Ave & Manhattan Ave,POINT (-73.95299117 40.72708584)
1219154,3112,Milton St & Franklin St,POINT (-73.95779 40.72906)
