,address,lng,lat
228,160 FRANKLIN AVENUE,-74.1632184,40.8136006
229,890 BEDFORD AVENUE,-73.9563983,40.6941394
230,890 BEDFORD AVE,-73.9563983,40.6941394
231,450 LAFAYETTE AVENUE,-73.6552076,40.6708408
232,430 CLASSON AVENUE,-73.959471,40.68535620000001
233,400 FRANKLIN AVENUE,-73.9566585,40.6849854
234,170 LEFFERTS PLACE,-73.957345,40.680287
235,610 THROOP AVENUE,-73.9409103,40.68194219999999
236,1080 BROADWAY,-73.931071,40.694272
237,590 MARCY AVENUE,-73.9492653,40.6944231
238,1230 ATLANTIC AVENUE,-77.9727274,35.3884225
239,1100 DEKALB AVENUE,-73.9303563,40.6935765
240,850 LEXINGTON AVENUE,-73.9659175,40.7656903
241,850 DE KALB AVENUE,-73.9420901,40.69220749999999
242,330 FLUSHING AVENUE,-73.9628615,40.6980047
243,70 FRANKLIN AVENUE,-73.95874250000001,40.696891
244,160 CLASSON AVENUE,-73.9614914,40.6951086
245,120 TAAFFE PLACE,-73.9605679,40.6953092
246,110 SANDFORD STREET,-74.1364517,40.8082405
247,20 KOSCIUSKO STREET,-70.885789,42.5208579
248,160 CLIFTON PLACE,-73.9582771,40.6881615
249,170 LEXINGTON AVENUE,-73.9815108,40.7442909
250,0 WALWORTH STREET,0.0,0.0
251,600 MARCY AVENUE,-73.94918489999999,40.6940929
252,870 DE KALB AVENUE,-73.9412404,40.69238319999999
253,1420 FULTON STREET,-73.9443402,40.6797079
254,670 MONROE STREET,-82.1996348,33.436481
255,260 NOSTRAND AVENUE,-73.95222389999999,40.6910064
256,200 MACON STREET,-73.94288890000001,40.681461
257,510 PARK AVENUE,-73.969768,40.76353
258,1930 66TH STREET,-73.9880648,40.616626
259,2140 66TH STREET,-80.23180459999999,25.8345438
260,2040 67TH STREET,-73.986148,40.6145649
261,2160 68TH STREET,-105.0127512,39.8198593
262,2150 68TH STREET,-73.9843574,40.6125313
263,2050 BAY RIDGE AVENUE,-73.987155,40.613323
264,2160 70TH STREET,-92.31001529999999,45.5153679
265,2120 70TH STREET,-73.9862369,40.6118905
266,1660 71ST STREET,-95.96855080000002,36.0599304
267,1640 72ND STREET,-73.998063,40.61718
268,1630 72ND STREET,-73.99831,40.617329
269,1620 72ND STREET,-73.99855099999999,40.617476
270,1830 71ST STREET,-75.263892,39.981175
271,7100 19TH AVENUE,-111.0615252,45.6042937
272,1550 73RD STREET,-80.31477129999999,25.8882346
273,1670 73RD STREET,-73.99804999999999,40.616236
274,1670 BAY RIDGE PARKWAY,-73.9992293,40.6150302
275,1440 76TH STREET,-74.004997,40.6175939
276,2060 BAY RIDGE PARKWAY,-73.9904522,40.6097685
277,1410 76TH STREET,-74.00570499999999,40.618018
278,7700 19TH AVENUE,-104.8987385,39.7456245
279,1460 80TH STREET,-88.01157959999999,43.0152166
280,1470 81 STREET,-74.00712879999999,40.6144047
281,1650 82ND STREET,-74.0038234,40.6114603
282,2230 81ST STREET,-87.67924359999999,41.7467559
283,1510 82ND STREET,-101.8516405,33.5202033
284,8310 14TH AVENUE,-87.82667169999999,42.5541815
285,1840 85TH STREET,-74.0010574,40.6070541
286,2060 85TH STREET,-73.9962025,40.6041509
287,2310 80TH STREET,-101.8667741,33.5220077
288,2320 83RD STREET,-122.5699424,47.3330616
289,2350 84 STREET,-73.9892011,40.6008174
290,2460 85TH STREET,-73.987422,40.5987947
291,6700 19TH AVENUE,-101.7626427,35.232479
292,1420 67TH STREET,-75.141975,40.05476
293,1480 67TH STREET,-73.99862519999999,40.6221974
294,1450 70TH STREET,-87.5889639,41.768029
295,1430 70TH STREET,-74.0017116,40.6212587
296,1520 74TH STREET,-74.002032,40.617716
297,2150 80TH STREET,-73.890035,40.769365
298,2260 81ST STREET,-73.98953399999999,40.6037183
299,2240 81ST STREET,-73.9899587,40.604001
300,1630 85TH STREET,-74.0061188,40.610083
301,1830 67TH STREET,-118.3100987,33.9783038
302,1830 67TH ST,-86.1287627,39.878453
303,2080 77TH STREET,-73.9912212,40.6083782
304,7620 BAY PARKWAY,-73.9886502,40.6072399
305,1820 73RD STREET,-73.9944579,40.6140796
306,1920 78TH STREET,-101.859425,33.5237012
307,6510 18 AVENUE,-73.9906419,40.6189596
308,1550 BAY RIDGE AVENUE,-73.9983029,40.6201664
309,6910 18TH AVENUE,-73.9929654,40.6166999
310,1540 86TH STREET,-74.0086441,40.6105322
311,1760 65TH STREET,-73.9912442,40.6193496
312,1740 84TH STREET,-74.002681,40.6090058
313,1140 EAST 72ND ST,-73.9156136,40.6266233
314,10 BERGEN BEACH PLACE,-73.91534949999999,40.6224961
315,30 GEORGETOWN LANE,-73.914081,40.62227499999999
316,6640 AVENUE N,-73.91411730000002,40.620906
317,1320 EAST 66TH STREET,-122.4105153,47.1969672
318,2020 EAST 70TH STREET,-93.7073798,32.4450255
319,7320 AVENUE U,-73.9053521,40.6208582
320,2030 EAST 73RD STREET,-73.9073576,40.6217244
321,2040 EAST 74TH STREET,-73.90643899999999,40.6219609
322,2050 ROYCE STREET,-73.905591,40.622229
323,2060 ROYCE STREET,-73.9053596,40.622097
324,2120 BERGEN AVENUE,-73.90361800000001,40.62166149999999
325,2230 EAST 70TH STREET,-87.5700899,41.768339
326,2320 EAST 69TH STREET,-87.5689536,41.7700371
327,2330 EAST 72ND STREET,-73.9026641,40.61630479999999
328,2350 EAST 72ND STREET,-73.902287,40.615954
329,2420 EAST 70TH STREET,-94.5581047,39.0001176
330,2440 EAST 72ND STREET,-73.900672,40.6145179
331,2410 EAST 74TH STREET,-87.5658579,41.7610069
332,2420 EAST 74TH STREET,-73.8995837,40.6157526
333,1090 EAST 72ND STREET,-73.9148832,40.626299
334,1110 EAST 73RD STREET,-73.91601829999999,40.6277222
335,7270 ROYCE PLACE,-73.9094173,40.6250543
336,7260 ROYCE PLACE,0.0,0.0
337,10 COVE LANE,-73.7547268,40.80246320000001
338,1930 BERGEN AVENUE,-73.9077504,40.6248343
339,1440 ROYCE STREET,-73.9080409,40.623343
340,1460 ROYCE STREET,-73.907516,40.623308
341,1500 ROYCE STREET,-73.9066591,40.6230798
342,1510 ROYCE STREET,-73.9066551,40.62307819999999
343,1560 ROYCE STREET,-81.61612699999999,35.767226
344,1970 BERGEN AVENUE,-73.90623819999999,40.6241337
